Formation (J),Holding (K),mean_return,t_stat,p_value,sharpe,max_dd,volatility,n_obs
3,3,0.7286,5.7627,0.0,0.5316,-34.4655,4.7479,1020.0
3,6,0.6802,6.1639,0.0,0.5969,-36.4757,3.9478,1020.0
3,9,0.6604,6.724,0.0,0.6991,-23.7909,3.2726,1020.0
3,12,0.5348,6.1573,0.0,0.6452,-21.6713,2.8709,1020.0
6,3,1.0119,5.93,0.0,0.5957,-46.4754,5.8848,1020.0
6,6,0.9374,5.9808,0.0,0.6543,-42.6548,4.9635,1020.0
6,9,0.7956,5.9027,0.0,0.6441,-37.4206,4.2792,1020.0
6,12,0.6092,4.9738,0.0,0.5395,-36.8611,3.9116,1020.0
9,3,1.1564,5.9884,0.0,0.6541,-45.2411,6.1241,1020.0
9,6,0.9638,5.5299,0.0,0.6259,-51.4072,5.3341,1020.0
9,9,0.7654,5.0728,0.0,0.5523,-44.0206,4.8011,1020.0
9,12,0.5642,4.0248,0.0001,0.4432,-47.9873,4.4096,1020.0
12,3,1.0145,5.172,0.0,0.56,-53.8539,6.276,1020.0
12,6,0.824,4.6335,0.0,0.5042,-59.0689,5.6616,1020.0
12,9,0.6452,4.0178,0.0001,0.4312,-55.1848,5.1832,1020.0
12,12,0.4769,3.1091,0.0019,0.3437,-58.3054,4.8064,1020.0
