Market State Lag,Formation (J),Holding (K),Return (%),t-statistic,p-value,HAC Lags,N,Bonferroni Sig.
12,3,3,0.186,0.7665,0.4434,14,374,NO
12,3,6,0.487**,2.3710,0.0177,17,375,NO
12,3,9,0.511***,2.6544,0.0079,20,376,NO
12,3,12,0.503***,3.1434,0.0017,23,376,YES
12,6,3,0.519*,1.8045,0.0711,14,371,NO
12,6,6,0.790***,2.8386,0.0045,17,374,NO
12,6,9,0.677***,2.6691,0.0076,20,376,NO
12,6,12,0.547***,2.6151,0.0089,23,376,NO
12,9,3,0.754**,2.2615,0.0237,14,368,NO
12,9,6,0.909***,2.9408,0.0033,17,371,YES
12,9,9,0.771***,2.9626,0.0031,20,375,YES
12,9,12,0.584**,2.5375,0.0112,23,376,NO
12,12,3,0.597*,1.7411,0.0817,14,365,NO
12,12,6,0.737**,2.3855,0.0171,17,368,NO
12,12,9,0.637**,2.3346,0.0196,20,372,NO
12,12,12,0.517**,2.0723,0.0382,23,375,NO
24,3,3,0.146,0.5331,0.5940,26,374,NO
24,3,6,0.349*,1.6792,0.0931,29,375,NO
24,3,9,0.337**,2.2325,0.0256,32,376,NO
24,3,12,0.354***,2.9328,0.0034,35,376,YES
24,6,3,0.467,1.5431,0.1228,26,371,NO
24,6,6,0.611**,2.5203,0.0117,29,374,NO
24,6,9,0.473**,2.3387,0.0194,32,376,NO
24,6,12,0.358**,2.2081,0.0272,35,376,NO
24,9,3,0.702**,2.0547,0.0399,26,368,NO
24,9,6,0.726***,2.5765,0.0100,29,371,NO
24,9,9,0.527**,2.4929,0.0127,32,375,NO
24,9,12,0.341**,1.9844,0.0472,35,376,NO
24,12,3,0.611*,1.7474,0.0806,26,365,NO
24,12,6,0.586**,1.9995,0.0456,29,368,NO
24,12,9,0.375*,1.6713,0.0947,32,372,NO
24,12,12,0.294,1.5206,0.1284,35,375,NO
36,3,3,0.063,0.2017,0.8401,38,374,NO
36,3,6,0.336,1.4973,0.1343,41,375,NO
36,3,9,0.341**,2.1764,0.0295,44,376,NO
36,3,12,0.303**,2.5426,0.0110,47,376,NO
36,6,3,0.336,1.0635,0.2875,38,371,NO
36,6,6,0.570**,2.2088,0.0272,41,374,NO
36,6,9,0.438**,2.0931,0.0363,44,376,NO
36,6,12,0.287*,1.6696,0.0950,47,376,NO
36,9,3,0.532,1.3672,0.1716,38,368,NO
36,9,6,0.652**,2.1079,0.0350,41,371,NO
36,9,9,0.493**,2.0951,0.0362,44,375,NO
36,9,12,0.260,1.3292,0.1838,47,376,NO
36,12,3,0.464,1.1926,0.2330,38,365,NO
36,12,6,0.517,1.5964,0.1104,41,368,NO
36,12,9,0.335,1.3172,0.1878,44,372,NO
36,12,12,0.190,0.8768,0.3806,47,375,NO
