Formation (J),Holding (K),Mean Return,t-Statistic,Sharpe Ratio,p-value
3,3,0.74\%,4.686,0.506,2.78 \times 10^{-6}
3,6,0.62\%,4.375,0.470,1.22 \times 10^{-5}
3,9,0.57\%,4.374,0.496,1.22 \times 10^{-5}
3,12,0.46\%,3.938,0.441,8.21 \times 10^{-5}
6,3,0.92\%,4.669,0.505,3.02 \times 10^{-6}
6,6,0.81\%,4.336,0.491,1.45 \times 10^{-5}
6,9,0.66\%,3.853,0.451,1.17 \times 10^{-4}
6,12,0.52\%,3.381,0.379,7.22 \times 10^{-4}
9,3,1.02\%,4.864,0.536,1.15 \times 10^{-6}
9,6,0.82\%,4.075,0.467,4.61 \times 10^{-5}
9,9,0.64\%,3.370,0.390,7.51 \times 10^{-4}
9,12,0.51\%,2.969,0.328,0.0030
12,3,0.91\%,4.270,0.470,1.95 \times 10^{-5}
12,6,0.72\%,3.413,0.385,6.42 \times 10^{-4}
12,9,0.57\%,2.824,0.319,0.0047
12,12,0.47\%,2.538,0.275,0.0111
